,Nom de l'entreprise,Numéro et voie,Ville,Code postal,Commune,Numéro de téléphone,Numéro de fax,Site internet,E-mail générique,Numéro Siren,"Chiffre d'affaires net (H.T.)
kEUR
Dernière année disp.","Chiffre d'affaires net (H.T.)
kEUR
Année - 1","Dirigeant
Nom complet","Dirigeant
Personne physique ou morale",Description de l’activité,Activité principale de l'entreprise INSEE,"NAF Rév. 2, code principal (code)","Dirigeant
Age","Dirigeant
Nom",Commentaires 
1415.,SICA POM ALPES,LA DUTILE,MANOSQUE,04100,Manosque,04 92 87 61 50,04 92 72 31 14,www.pomalpes.com,pierreclos@wanadoo.fr,316622000,"8,871","9,635",Mme Anne-Laure Clos Queiras,Personne,,Commerce de gros (commerce interentreprises) de fruits et légumes,4631Z,32,Clos Queiras,
2185.,DUFOUR MANOSQUE,AVENUE BLAISE PASCAL,MANOSQUE,04100,Manosque,04 92 72 14 62,,,,750851867,"6,270","6,299",M. Pierre Dufour,Personne,Achat vente négoce de viandes en gros.,Activités des sociétés holding,4632A,41,Dufour,
2648.,LA FINESTRA SUL CIELO - FRANCE,ZONE INDUSTRIELLE SAINT MAURICE,MANOSQUE,04100,Manosque,,,,,493150593,"5,295","4,531",M. Luc Ronfard,Personne,"Négoce, distribution de produits agroalimentaires, de produits écologiques et de tous produits vendus dans les magasins d'alimentation naturelle.",Commerce de gros (commerce interentreprises) alimentaire spécialisé divers,4638B,61,Ronfard,
5236.,ETABLISSEMENTS THURIN,PRES COMBAUX ZI,MANOSQUE,04100,Manosque,,04 92 77 29 35,,,384981601,"2,675","2,829",M. Daniel Thurin,Personne,"Reparation de materiel agricole, vente de machines et materiel agricole",Commerce de gros (commerce interentreprises) de matériel agricole,4661Z,46,Thurin,
5689.,SAVI,CHEMIN DE CHAMPS DE PRUNIERS,MANOSQUE,04100,Manosque,04 92 72 45 55,04 92 72 47 65,www.savifrance.fr,savisarl@aol.com,349593632,"2,411","2,083",M. Mehdi Adlan Merini,Personne,"Negoce national ou international, fabrication, assemblage, mise en oeuvre de machines-outils",Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers,4669B,57,Adlan Merini,
865.,TRANSPORTS CHARBONNIER FRERES,ZONE INDUSTRIELLE,MANOSQUE,04100,Manosque,,04 92 72 65 40,www.transportscharbonnier.fr,,775549603,"12,406","11,581",M. Jean-Marc Charbonnier,Personne,"Transport routier de marchandises, messagerie, déménagement, négoce et location de tout matériel de transports et TP, pièces détachées. Carrossier constructeur et mécanique entretien réparation de véhicules.",Transports routiers de fret interurbains,4941A,54,Charbonnier,
5311.,ALPES TRANSPORTS LOCATION,1468 ZONE INDUSTRIELLE SAINT MAURICE,MANOSQUE,04100,Manosque,04 92 87 85 18,04 92 87 83 77,,atl.transport@laposte.net,402000285,"2,630","2,683",Mme Yveline Nendzynski,Personne,"Transport public routier de marchandises, messagerie, transports speciaux, transports exceptionnels, entreposage, distribution, location avec ou sans conducteur de vehicules industriels et de vehicules legers",Transports routiers de fret de proximité,4941B,67,Nendzynski,
9838.,PROVENCE GRAPHISME INFORMATIQUE,CHEMIN DES SEIGNIERES,MANOSQUE,04100,Manosque,04 92 72 48 70,04 92 72 76 61,www.digitec.fr,contact@digitec.fr,438403396,"1,049",991,M. Bernard Julien,Personne,"Négoce et prestations de services informatiques , graphisme .",Edition de logiciels applicatifs,5829C,54,Julien,
8840.,SARL EURO TELECOM,62 AVENUE JEAN GIONO,MANOSQUE,04100,Manosque,04 92 71 01 60,,www.eurtolecom.com,smartin@eurotelecom2000.com,445060924,"1,300","1,152",M. Stephane Martin,Personne,"Achat, vente de téléphones portables et fixes, abonnement, commercialisation internet et d'accessoires.",Télécommunications sans fil,6120Z,44,Martin,
6764.,SUDERIANE,208 RUE DE L ORIGAN,MANOSQUE,04100,Manosque,04 92 71 01 72,04 65 10 00 04,www.suderiane.fr,contact@suderiane.fr,534748298,"1,946","1,480",Mme Aurelia Rojon,Personne,"Vente, formation, maintenance, développement et conseil en informatique.",Conseil en systèmes et logiciels informatiques,6202A,34,Rojon,
3811.,LOU BIO,ZONE INDUSTRIELLE SAINT MAURICE,MANOSQUE,04100,Manosque,04 92 73 74 75,04 92 75 94 79,,,453692261,"3,773","3,144",Mme Helene Ronfard,Personne,Prise de participation dans les entreprises de fabrication de produits alimentaires. Toutes prestations d'entreposage et de gestion de stocks pour le compte d'autres sociétés.,Activités des sociétés holding,6420Z,62,Ronfard,
8723.,PROMAN EXPANSION,ZONE INDUSTRIELLE SAINT MAURICE,MANOSQUE,04100,Manosque,,,,,535323174,"1,333","1,510",Mme Evelyne Gomez,Personne,Société de holding.,Activités des sociétés holding,6420Z,68,Gomez,
8529.,J.C.B. HOLDING,3 AVENUE DU MAJORAL RAOUL ARNAUD,MANOSQUE,04100,Manosque,,04 92 72 63 29,,,394143812,"1,386","1,228",M. Jean-Claude Bottero,Personne,"Prise de participations dans des entreprises industrielles et commerciales, gestion de filiales, apport d'une aide sous forme de conseil et d'assistance technique : propriete, gestion, disposition de toutes valeurs mobilieres ou titres de participation, gestion financiere",Activités des agents et courtiers d'assurances,6622Z,75,Bottero,
6927.,SOC INDUSTRIELLE MATERIAUX CONSTRUCTION,ZONE INDUSTRIELLE,MANOSQUE,04100,Manosque,04 92 72 69 69,04 92 87 52 58,,,705550010,"1,877","1,874",Mme Stephanie Saint Martin,Personne,Adjonction d'activite : toutes operations de marchand de biens,Location de terrains et d'autres biens immobiliers,6820B,44,Saint Martin,
9729.,OBSITAS,75 AVENUE JEAN GIONO,MANOSQUE,04100,Manosque,04 92 72 24 15,04 92 87 46 03,,,478990567,"1,072",980,M. Vincent La Rocca,Personne,"Ingénierie financière et fiscale en immobilier, transactions immobilières, marchand de biens, conseil en gestion de patrimoine, conseil et intermédiaires en placements financiers et crédits. Courtage en opérations de banque et en services de paiement.",Agences immobilières,6831Z,64,La Rocca,
4493.,ANSEMBLE SA,428 AVENUE DE LA LIBERATION,MANOSQUE,04100,Manosque,04 92 70 95 00,04 92 70 95 01,www.ansemble.fr,durance@ansemble.fr,405035205,"3,178","3,019",M. Dominique Cheminot,Personne,"Exercice des professions d'export-comptable et de commmissaire aux comptes , telles qu'elles sont définies par l'ordonnance du 19 septembre 1945, la loi du 24 juillet 1966 et le décret du 12 août 1969 telles qu'elles pourraient l'être par tous textes législatifs ultérieurs. Participations dans toutes opérations pouvant se rapporter à son objet par voie de création de sociétés nouvelles, de souscriptions, d'achat de titres ou de droits sociaux, de fusion, d'assocation en participation ou autrement.",Activités comptables,6920Z,59,Cheminot,
4587.,ANSEMBLE DURANCE,428 AVENUE DE LA LIBERATION,MANOSQUE,04100,Manosque,04 92 70 95 00,04 92 70 95 01,www.ansemble.fr,durance@ansemble.fr,397697822,"3,104","3,044",M. Jean-Roch Boyer,Personne,Exercice des professions d'expert-comptable et de commissaire aux comptes : telles qu'elles sont definies par l'ordonnance modifiee du 19 septembre 1945 et la loi du 24 juillet 1966 et telles qu'elles pourraient l'etre par tous textes legislatifs ulterieurs,Activités comptables,6920Z,52,Boyer,
6737.,SOCIETE EXPERTISE COMPTABLE VAL DURANCE,AVENUE DU 1ER MAI,MANOSQUE,04100,Manosque,04 92 72 03 04,04 92 72 69 43,www.secoval.com,,484310230,"1,957","1,858",Mme Julie Hernandez,Personne,Exercice de la profession d'expert-comptable.,Activités comptables,6920Z,37,Hernandez,
10336.,ESSENTIEL COMPTA,CHEMIN DE CHAMPS DE PRUNIERS,MANOSQUE,04100,Manosque,09 61 46 34 85,04 92 87 86 37,www.essentiel-compta.fr/,,434181277,942,864,M. Romain Tardieu,Personne,Expertise comptable.,Activités comptables,6920Z,35,Tardieu,
7948.,V L R FINANCES,304 B AVENUE DE LA LIBERATION,MANOSQUE,04100,Manosque,04 92 72 60 30,04 92 72 60 40,,,411998172,"1,541","1,736",M. Jean-Luc Monteil,Personne,"Conseil en investissements financiers, conseil pour la gestion et les affaires, conseil en gestion de patrimoine, démarchage bancaire et financier, courtage et intermédiation en assurance, transaction sur immeubles et fonds de commerce. Intermédiaire en opérations de banque et services de paiement catégorie courtier.",Conseil pour les affaires et autres conseils de gestion,7022Z,51,Monteil,
4978.,FLODIM SARL,110 RUE DES RIZIERES,MANOSQUE,04100,Manosque,04 92 71 15 93,04 92 71 16 01,www.flodim.fr,contact@flodim.fr,399286020,"2,829","2,384",M. Jean-Paul Crabeil,Personne,"Conception, fabrication et commercialisation d'équipements de mesure.","Analyses, essais et inspections techniques",7120B,61,Crabeil,
2102.,SELARL MANESQ,AVENUE BERNARD FOUSSIER,MANOSQUE,04100,Manosque,,,www.manesq.fr,,384524021,"6,461","6,329",Mme Marie Francoise Peretti,Personne,Création et exploitation par ses membres d'un laboratoire d'analyses de biologie médicale.,Laboratoires d'analyses médicales,8690B,56,Peretti,
1261.,DUFOUR S.A,LES BARRIERES,REILLANNE,04110,Reillanne,04 92 73 40 20,04 92 73 40 29,www.groupedufour.com,contact@dufour-sa.com,377584735,"9,631","9,237",M. Jean-Maurice Dufour,Personne,,Commerce de gros (commerce interentreprises) de viandes de boucherie,4632A,69,Dufour,
10451.,BETON BAS ALPIN,BOULEVARD JEAN JAURES,VOLX,04130,Volx,,,,,528042484,919,304,Mme Michelle Gardiol,Personne,Vente de béton prêt à l'emploi et location de matériel du BTP.,Fabrication de béton prêt à l'emploi,2363Z,69,Gardiol,
8806.,OLIVIER BAUSSAN,ROUTE ANCIENNE ROUTE DE FORCALQU,VOLX,04130,Volx,04 92 72 65 84,04 92 73 29 89,,nordsud04@wandoo.fr,391916210,"1,308","1,821",M. Olivier Baussan,Personne,"Import-export , vente et distribution de produits artisanaux, d'articles cadeaux ou de produits alimentaires. Achat, vente, exposition de toutes créations ou de toutes uvres en matière d'art. Prestations de services. Gestion, assistance technique et administrative des participations financières acquises .",Commerce de gros (commerce interentreprises) de boissons,4634Z,65,Baussan,
6634.,ETS BAYLE,LA BASSE LIBERNE,SELONNET,04140,Selonnet,04 92 35 10 30,04 92 35 06 46,,,343165569,"1,995","1,102",Mme Huguette Magnan Bayle,Personne,,Exploitation forestière,0220Z,50,Magnan Bayle,
8703.,SARL RICHARD MICHEL,LE PONT ROUGE,SEYNE,04140,Seyne,04 92 35 24 00,,,,491924486,"1,337","1,039",M. Richard Michel,Personne,Transport de marchandises ou location de véhicules.,Travaux de terrassement courants et travaux préparatoires,4312A,52,Michel,
1098.,JOASSAN FRERES,LIEU DIT L EYROUSE,SIMIANE LA ROTONDE,04150,Simiane-la-Rotonde,04 92 77 23 27,04 92 73 27 96,,joassanfreres@wanadoo.fr,420479396,"10,612","8,853",M. Alain Joassan,Personne,Négoce de bestiaux et abatteur.,Transformation et conservation de la viande de boucherie,1011Z,40,Joassan,
5080.,TOSSOLIA,LE QUARRI,REVEST DU BION,04150,Revest-du-Bion,04 92 77 00 99,04 92 77 61 55,www.tossolia.com,,379512163,"2,769","2,344",M. Joel Pichon,Personne,"Transformation de soja en tofou, préparation de plats cuisinés à base de tofou",Autre transformation et conservation de légumes,1039A,63,Pichon,
4911.,FROMAGERIE DE BANON,ROUTE DE CARNIOL,BANON,04150,Banon,04 92 73 25 03,04 92 73 31 94,www.fromagerie-banon.fr,fromageriedebanon@free.fr,381379817,"2,879","2,438",M. Patrick Micolon De Guerines,Personne,Fabrication de produits alimentaires et plus particulièrement de fromages (dont le «Banon» appellation d'origine contrôlée) et de spécialité fromagères.,Fabrication de fromage,1051C,51,Micolon De Guerines,
1202.,COO AGR PLANTES PARFUM PROVENCE,,SIMIANE LA ROTONDE,04150,Simiane-la-Rotonde,04 92 75 99 82,04 92 75 91 91,,,317008241,"9,999","9,300",M. Jean-Michel Cotta,Personne,,Intermédiaires spécialisés dans le commerce d'autres produits spécifiques,4618Z,54,Cotta,
1012.,CASSAN,LIEU DIT LA COMBE DU POMMIER,SIMIANE LA ROTONDE,04150,Simiane-la-Rotonde,04 92 75 91 70,04 92 75 92 23,www.cassan-essencesvegetales.com,contact@simiane-la-rotonde.fr,400235651,"11,217","5,664",M. Benoit Cassan,Personne,"Négociant en france et à l'étranger, d'huiles essentielles, de bouquets secs, de fleurs séchées (lavande/lavandin).",Commerce de gros (commerce interentreprises) de produits chimiques,4675Z,44,Cassan,
5438.,S T M I PRODUCTION,2 IMPASSE DES ARTISANS,L'ESCALE,04160,L' Escale,04 92 64 15 86,04 92 64 18 70,,travaux@stmip.fr,499933752,"2,556",876,M. Nicolas Martinelli,Personne,"Tuyauterie et supportage en acier et inox, maintenance industrielle, ferronnerie, structure métallique, serrurerie, chaudronnerie, découpage, pliage, charpente",Travaux de montage de structures métalliques,3320A,33,Martinelli,
2836.,SARL DEPETRI,RUE CHARLES FOURRIER,CHATEAU ARNOUX ST AUBAN,04160,Château-Arnoux-Saint-Auban,04 92 64 04 25,04 92 64 44 49,www.depetri.fr,depetri@wanadoo.fr,353417637,"4,989","4,830",M. Cyrille Bonilla-Calvo,Personne,"Négoce d'outillage industriel, représentation industrielle et toutes prestations de services s'y rattachant.",Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers,4669B,51,Bonilla-Calvo,
9840.,STICK'AIR,LE CROUES,ST ANDRE LES ALPES,04170,Saint-André-les-Alpes,04 92 89 13 24,04 92 89 07 44,www.stickair.com,commercial@stickair.com,400347993,"1,048","1,329",M. Christophe Bravard,Personne,"Travaux graphiques, informatiques et musicaux, realisation de publicites et edition",Activités de pré-presse,1813Z,46,Bravard,
8985.,SARL VACCAREZZA,RUE GRANDE,ST ANDRE LES ALPES,04170,Saint-André-les-Alpes,04 92 89 03 28,,,,421107939,"1,263","1,210",M. Alex Vaccarezza,Personne,"Taxi, transport public routier de personnes limité à un 1 seul véhicule de 9 places, ambulance, transports sanitaires.",Ambulances,8690A,44,Vaccarezza,
4044.,SAVONNERIE DE HAUTE PROVENCE,7 ZAI LES PLAINES DU LOGISSON,VILLENEUVE,04180,Villeneuve,04 92 79 23 23,04 92 79 23 24,www.savonnerie-de-haute-provence.com,contact@savonnerie-de-haute-provence.com,444398861,"3,553","3,726",M. Daniel Margot,Personne,"Fabrication, conditionnement, vente de savons sous toutes ses formes , conception de moules, fabrication, négoce de tous produits de cosmétologie directement ou en sous-traitance .","Fabrication de savons, détergents et produits d'entretien",2041Z,55,Margot,
1010.,PROVENCE FROID,5 ZONE ARTISANALE LA TRANCHE,VILLENEUVE,04180,Villeneuve,04 92 79 30 53,04 92 79 41 50,www.provence-froid.fr,compta@provence-froid.fr,328998729,"11,229","10,561",M. Jean-Luc Sube,Personne,,Installation de machines et équipements mécaniques,3320B,55,Sube,
5147.,A T P ENVIRONNEMENT,ZONE ARTISANALE,VILLENEUVE,04180,Villeneuve,04 92 72 04 25,04 92 72 06 04,www.atpenvionnement.fr,info@atp04.fr,488663071,"2,722","2,286",M. Eric Toutain,Personne,"Travaux forestiers, travaux publics, travaux de maçonnerie. Achat et vente de terrains et maisons.",Services d'aménagement paysager,8130Z,53,Toutain,
846.,SCEA DU DOMAINE SAINT GEORGES,HAMEAU DE DABISSE,LES MEES,04190,Les Mées,,04 92 34 33 20,www.domaine-saint-georges.fr,contact@domaine-saint-georges.fr,342621356,"12,663","11,341",M. Didier Miollan,Personne,,Culture de fruits à pépins et à noyau,0124Z,44,Miollan,
3395.,LES CHAMPS DES ALPES,LA BASTIDE BLANCHE,LES MEES,04190,Les Mées,04 92 34 00 10,04 92 34 33 74,www.leschampsdesalpes.fr,lcda@leschampsdesalpes.fr,453262222,"4,228","6,281",M. Catafruit Sau,Personne,Production et négoce de pommes,Culture de fruits à pépins et à noyau,0124Z,,Catafruit Sau,
9726.,SCEA HAUTE GREE,HAMEAU DE DABISSE,LES MEES,04190,Les Mées,04 92 34 00 01,,,,380912733,"1,073",997,M. Didier Miollan,Personne,"Acquisition, prise a bail, exploitation de tous biens agricoles soit par voie de fermage, metayage",Culture de fruits à pépins et à noyau,0124Z,44,Miollan,
1241.,MIDI CHARCUTERIE MICHAR - GIL TRAITEUR DU SUD,LOTISSEMENT ZONE ARTISANALE ET INDUSTR,LES MEES,04190,Les Mées,04 92 34 30 12,04 92 34 35 91,www.gil-traiteur-du-sud.com,commercial-giltraiteur@orange.fr,322497256,"9,762","9,892",Mme Audrey Gabanou,Personne,"Fabrication de tous produits à base de légumes ou de fruits ainsi que de tous produits traiteurs , préparation directement chez les clients de tous plats cuisinés.",Fabrication de plats préparés,1085Z,35,Gabanou,
7446.,ALPES REFRIGERATION,PARC ACTIVITES DE LA CHAUCHIERE,LES MEES,04190,Les Mées,04 92 32 47 40,04 92 32 58 16,,contact@alpesrefrigeration.fr,483311544,"1,701","1,957",M. Romain Letellier,Personne,"Vente, études, conception, réalisation et maintenance de matériel ou d'équipements de réfrigération thermiques, aérauliques , d'appareils de climatisation, de chauffage et de ventilation à usage industriel, particulier, public ou privé .",Installation de machines et équipements mécaniques,3320B,42,Letellier,
10222.,NATURE ET SOLEIL,DOMAINE DOMAINE SAINT GEORGES,LES MEES,04190,Les Mées,,,,,504363474,966,958,M. Pierre M Miollan,Personne,"Exploitation de générateur photovoltaïque, participation à toutes entreprises ou sociétés pouvant se rattacher à l'objet social, toutes opérations financières industrielles, mobilières, immobilières se rattachant a l'objet.",Production d'électricité,3511Z,68,M Miollan,
1097.,CHANIS,LIEU DIT LIEUDIT,LES MEES,04190,Les Mées,04 92 34 30 50,04 92 34 32 62,www.intermarche.com,pdv12119@mousquetaires.com,345374011,"10,617","10,536",M. Stephane Chico,Personne,Propriété location gestion de tous fonds de commerce.,Location de terrains et d'autres biens immobiliers,6820B,41,Chico,
3934.,TRAVAUX ET ENVIRONNEMENT,LA BASTIDE BLANCHE,LES MEES,04190,Les Mées,04 92 34 31 33,04 92 34 37 49,,travauxetenvironnement@orange.fr,492932900,"3,650","4,024",M. Marc Margaillan,Personne,,Services d'aménagement paysager,8130Z,61,Margaillan,
9450.,SARL AMBULANCES-TAXIS-VSL DES ALPES DU SUD,1 PLACE DE LA REPUBLIQUE,LES MEES,04190,Les Mées,04 92 34 32 34,04 92 34 12 94,,,485316004,"1,141",847,M. Michel Chauvot,Personne,Taxi.,Ambulances,8690A,57,Chauvot,
8347.,AUDIBERT CHARPENTES,QUARTIER L ECLAUSE,THEZE,04200,Thèze,09 64 06 17 09,,,audibert.charpente@wanadoo.fr,380833855,"1,436","1,503",M. Guy Audibert,Personne,"Tous travaux de charpente, de menuiserie, d'ébénisterie, de couverture et de zinguerie.",Travaux de charpente,4391A,54,Audibert,
1430.,SAMUEL ET FILS,ROUTE DE GAP,MISON,04200,Mison,04 92 61 44 64,04 92 61 48 47,www.samuel-et-fils.com,samueletfils@orange.fr,338392780,"8,780","8,182",M. Samuel Regis M,Personne,"Achat, vente en gros de fruits et de grains , toutes prestations de contrôle, qualité, conditionnement, calibrage de fruits, stockage accessoirement pour les entreprises dans lesquelles la société est intéressée. Toutes prestations administratives de secrétariat, de facturation, plus généralement, toutes opérations commerciales, industrielles, financières, mobilières ou autres, pouvant se rattacher, directement ou indirectement à l'objet social ou susceptibles d'en faciliter le développement .",Commerce de gros (commerce interentreprises) de fruits et légumes,4631Z,60,M,
180.,ALPES PROVENCE AGNEAUX,3 ALLEE DES CHENES,SISTERON,04200,Sisteron,,,,,501947899,"23,795","25,721",Arterris Vision,Personne,"L'élevage, l'abattage l'engraissement et le négoce national ou international d'animaux vivants ou morts achat vente import export courtage distribution par tous moyens de tous produits alimentaires. Commerce de détail boucherie élevage achat vente traitement et salage de cuirs et peaux.",Commerce de gros (commerce interentreprises) de viandes de boucherie,4632A,,Arterris Vision,
2130.,GIRAUD VIANDES,ALLEE DES GENETS,SISTERON,04200,Sisteron,04 92 61 40 13,04 92 61 24 30,,giraudviandes@wanadoo.fr,339902413,"6,386","6,458",M. Jean-Pierre M Giraud,Personne,"Achat, transformation, preparation, conditionnement et vente de toute viande en gros et demi-gros de tout betail vivant, importation, exportation avec abattage et vente au detail",Commerce de gros (commerce interentreprises) de viandes de boucherie,4632A,68,M Giraud,
4437.,B CONTACT DEVELOPPEMENT,4 ALLEE DES ERABLES,SISTERON,04200,Sisteron,,,,,493334635,"3,217","3,150",M. Francois M Bernier,Personne,"Les éléments d'actifs attachés à la branche d'activité de vente, location et maintenance de matériel bureautique et de consommables, sis et exploitée à GAP (05000) Quartier Belle Aureille Bâtiment Aurora à titre secondaire, pour l'exploitation duquel le vendeur est immatriculé au RCS GAP",Commerce de gros (commerce interentreprises) d'autres machines et équipements de bureau,4666Z,58,M Bernier,
